Country,Time,USD-JPY reer CPI-based (Index 2015=100),JPY-USD Spot Exchange Rate
JP,1970-01,70.31848,
JP,1970-02,70.12729,
JP,1970-03,70.36162,
JP,1970-04,70.45911,
JP,1970-05,69.85451,
JP,1970-06,69.64998,
JP,1970-07,69.15612,
JP,1970-08,69.05369,
JP,1970-09,69.94324,
JP,1970-10,70.69987,
JP,1970-11,70.43697,
JP,1970-12,70.54426,
JP,1971-01,70.70739,358.02
JP,1971-02,70.59129,357.545
JP,1971-03,70.45627,357.5187
JP,1971-04,71.13766,357.5032
JP,1971-05,70.78171,357.413
JP,1971-06,70.58895,357.4118
JP,1971-07,70.33833,357.4043
JP,1971-08,70.15287,355.78
JP,1971-09,73.41792,338.021
JP,1971-10,75.80534,331.1105
JP,1971-11,76.04372,328.752
JP,1971-12,77.06099,320.0727
JP,1972-01,79.16318,312.72
JP,1972-02,78.85167,305.187
JP,1972-03,79.14966,302.5365
JP,1972-04,79.97626,303.5605
JP,1972-05,79.88145,304.3795
JP,1972-06,79.54226,302.4145
JP,1972-07,79.42807,301.0305
JP,1972-08,79.80064,301.1609
JP,1972-09,79.98037,301.119
JP,1972-10,80.32801,301.011
JP,1972-11,80.03922,300.9885
JP,1972-12,80.36431,301.2405
JP,1973-01,82.07899,301.7882
JP,1973-02,86.21642,278.4206
JP,1973-03,91.87391,261.9014
JP,1973-04,91.73785,265.4914
JP,1973-05,92.11793,264.6505
JP,1973-06,90.06255,264.4981
JP,1973-07,88.2972,264.5538
JP,1973-08,88.89829,265.22
JP,1973-09,90.84106,265.4747
JP,1973-10,89.66239,266.3348
JP,1973-11,87.48525,278.2625
JP,1973-12,89.87259,280.1775
JP,1974-01,88.67716,298.1336
JP,1974-02,89.92879,291.0872
JP,1974-03,91.45573,282.1648
JP,1974-04,93.61706,277.7741
JP,1974-05,92.04431,278.9664
JP,1974-06,91.44998,282.97
JP,1974-07,89.74746,290.98
JP,1974-08,86.8535,302.2836
JP,1974-09,88.59045,299.084
JP,1974-10,89.36009,299.3645
JP,1974-11,88.29755,300.075
JP,1974-12,88.19599,300.4114
JP,1975-01,87.94288,299.6845
JP,1975-02,89.06295,291.6583
JP,1975-03,90.47369,287.9486
JP,1975-04,90.57241,292.1968
JP,1975-05,90.20049,291.4305
JP,1975-06,89.04895,293.4662
JP,1975-07,89.55452,296.3741
JP,1975-08,89.91385,297.9762
JP,1975-09,91.40332,299.909
JP,1975-10,91.06171,302.3364
JP,1975-11,90.29082,302.5453
JP,1975-12,89.48463,305.67
JP,1976-01,90.74677,304.6357
JP,1976-02,91.73582,301.5944
JP,1976-03,92.56808,300.5183
JP,1976-04,94.95658,299.1086
JP,1976-05,94.96935,299.004
JP,1976-06,94.88448,299.1909
JP,1976-07,96.35775,294.641
JP,1976-08,96.25552,290.6259
JP,1976-09,99.3657,287.361
JP,1976-10,98.1369,291.189
JP,1976-11,96.41809,295.1653
JP,1976-12,97.52914,294.7017
JP,1977-01,98.68189,291.0524
JP,1977-02,100.426,285.0221
JP,1977-03,102.0289,280.2265
JP,1977-04,104.7561,275.2071
JP,1977-05,104.1575,277.4262
JP,1977-06,104.7179,272.8609
JP,1977-07,106.285,264.8632
JP,1977-08,105.2587,266.6774
JP,1977-09,106.7156,266.77
JP,1977-10,111.3219,254.7445
JP,1977-11,113.937,244.7026
JP,1977-12,113.2636,241.0229
JP,1978-01,111.9806,241.081
JP,1978-02,111.8415,240.3722
JP,1978-03,116.0696,231.8574
JP,1978-04,122.0027,221.857
JP,1978-05,120.5751,226.1786
JP,1978-06,124.984,214.1064
JP,1978-07,132.1464,199.6955
JP,1978-08,138.4483,188.7096
JP,1978-09,137.2363,189.9195
JP,1978-10,138.6447,183.631
JP,1978-11,133.597,192.1425
JP,1978-12,129.6064,195.955
JP,1979-01,127.0785,197.755
JP,1979-02,123.624,200.5072
JP,1979-03,120.3234,206.3236
JP,1979-04,115.2964,216.2852
JP,1979-05,114.3632,218.4141
JP,1979-06,112.7163,218.5967
JP,1979-07,112.0386,216.51
JP,1979-08,109.4006,217.9257
JP,1979-09,107.1086,222.4137
JP,1979-10,104.0762,230.4845
JP,1979-11,96.84992,244.9842
JP,1979-12,97.66727,240.3745
